35,27,0
36,29,0
37,31,0
38,34,0
39,39,0
40,44,0
41,50,0
42,60,0
43,74,0
44,81,1
45,84,2
46,107,2
47,114,2
48,137,3
49,151,3
50,195,4
51,195,4
52,283,4
53,341,5
54,434,9
55,519,9
56,606,10
57,649,13
58,724,17
59,724,17
60,979,25
61,1071,29
62,1251,32
63,1636,38
64,1965,50
65,2301,56
66,2902,68
67,3374,77
68,4067,109
69,4421,114
70,5274,149
71,5865,169
72,6412,199
73,7447,239
74,8356,273
75,9152,308
76,10363,339
77,11439,377
78,12380,414
79,13387,437
80,14378,480
81,15712,507
82,17265,543
83,18601,590
84,19984,640
85,21393,681
86,23077,718
87,24506,775
88,26496,824
89,27892,872
90,29435,934
91,31332,1007
92,33050,1074
93,35043,1147
94,37336,1218
95,39980,1301
96,42533,1373
97,46433,1568
98,49391,1694
99,52952,1783
100,56342,1886
101,59662,1981
102,62939,2109
103,67152,2206
104,70756,2293
105,74281,2415
106,78003,2549
107,81970,2649
108,85940,2752
109,90927,2872
110,96169,3029
111,101139,3163
112,106750,3303
113,112359,3435
114,118447,3583
115,125101,3720
116,131868,3867
117,138845,4021
