,THING_ID,RA,DEC,Z_VI,BAL_FLAG_VI
114915,317655434,160.06422958183578,23.773281055358904,2.2882919311523438,0
114916,386024566,160.06442949847968,32.27381633170277,2.4626312255859375,0
114921,348256575,160.06692631048418,27.341726486506357,1.969,0
114926,289281213,160.07000822310897,20.255526788155347,2.43,0
114930,432382824,160.07306096759265,39.73097874828311,0.849,0
114932,310545750,160.07380416945887,22.83123122376714,2.3784992694854736,0
114933,319450088,160.07427004538204,23.97518483456397,0.7782949805259705,0
114934,391593432,160.07428287333283,33.19423103697035,0.762,0
114942,313989823,160.0765272173192,23.293700168739147,2.4731733798980713,0
114946,370695519,160.0782001084297,30.12141604807532,2.1206283569335938,0
114947,375297377,160.07830847039287,30.701641101838657,1.9694520235061646,0
114950,384500879,160.07838019043055,32.13747683064658,2.7191150188446045,0
114953,386024618,160.07952614405767,32.36566596346885,2.6490628719329834,0
114954,408108681,160.0800229060988,35.776774368124876,0.7824644446372986,0
114955,427296239,160.08090774435283,39.04791892119142,2.3144302368164062,0
114958,322999700,160.08311606682764,24.240696561572292,0.9922882318496704,0
114963,357072269,160.08614956614917,28.35078788992899,2.2555737495422363,0
114967,383065491,160.08712029417472,31.783482606835097,2.674178123474121,0
114971,319450098,160.08981487449373,23.95405458942931,1.0881314277648926,0
114973,380257264,160.09029829415073,31.529525485248797,4.1010870933532715,0
114976,321215279,160.0919732555592,24.093288676639798,2.285,0
114977,364001634,160.09332144205052,29.33160851542408,0.5816219449043274,0
114978,332250692,160.0942975058449,25.361781799125975,0.6823352575302124,0
114983,370695854,160.09601868315238,30.19816378290979,0.6955580711364746,0
114985,330597327,160.0975748798702,25.2038525456162,2.2270965576171875,0
114988,294535972,160.09843221358489,20.81645498813007,0.4101947844028473,0
114998,413686610,160.1049417301665,36.749181508813784,2.3122849464416504,0
115003,313990050,160.10811923716716,23.239198022635172,3.725,0
115005,384500890,160.1088642963706,32.05097305361094,0.8694310188293457,0
115010,367458014,160.1109142066149,29.712700036209903,2.9289169311523438,0
115014,394699527,160.11273317675958,33.59778370741565,2.929,0
115015,398723225,160.11358186322553,34.37477871245637,2.451,0
115017,317654873,160.1142310243517,23.73367308060165,3.1694982051849365,0
115018,330597329,160.11556493580437,25.21617291541473,1.5699654817581177,0
115020,375510508,160.11666839293179,30.84943330155683,1.922,0
115028,339704626,160.11971835825244,26.331232847363626,1.513,0
115029,364001724,160.12005515786888,29.173556671111516,2.835143804550171,0
115033,332473074,160.12125374844936,25.475604033804604,0.5216454863548279,0
115035,405464793,160.1216681537181,35.48429428046214,2.1334266662597656,0
115037,357072782,160.1227249090395,28.289988979121834,0.713,0
115038,346652175,160.12320106690623,27.00856980192775,3.165,0
115040,369016944,160.12338854525888,29.81141544371669,2.4689550399780273,0
115056,330597438,160.1301025512254,25.068711533143016,2.27791428565979,0
115058,332250943,160.13218269538305,25.33935054757727,3.04435396194458,0
115059,373942419,160.1338889846607,30.624098731598437,0.721,0
115066,360602117,160.13714917556683,28.86474564870191,2.2633142471313477,0
115072,408108943,160.14037903180505,35.87997305441881,2.3714194297790527,0
115075,412336685,160.14111921598027,36.48609338516526,0.6123814582824707,0
115076,360602104,160.14166885846407,28.834964524647663,2.1772828102111816,0
115080,432382803,160.14348811571017,39.7531366903838,0.5293618440628052,0
115086,324920915,160.1472346971032,24.471348036986253,2.111,0
115088,388929015,160.1475285260929,32.77271683764832,2.485,0
115090,380257192,160.14824424676937,31.55433586225928,1.3476825952529907,0
115092,386024634,160.14907929673274,32.242563391928,2.4994001388549805,0
115098,336001863,160.1522517627215,25.807566643593553,1.914,0
115103,381706848,160.15643121184934,31.68796820178489,2.2055130004882812,0
115105,291119260,160.1582834657509,20.406713224689888,2.359,0
115110,404225345,160.16200528374776,35.24020610664237,0.607,0
115116,355373606,160.16492189322267,28.10783685917866,2.194,0
115117,296568006,160.16577020351752,21.232841504568984,2.8423190116882324,0
115122,412336979,160.16990127483,36.51432141236338,2.3138060569763184,0
115126,305185493,160.17103644760743,22.251679450108785,2.739,0
115131,367458217,160.17249670777107,29.642050838955107,1.0789936780929565,0
115135,415068885,160.1753295983787,36.90286381835826,2.6861801147460938,0
115143,327041326,160.1804878551502,24.745574954838812,2.222440481185913,0
115145,346908367,160.18197076835756,27.218783518688323,2.284090280532837,0
115148,432648943,160.18475020137453,39.75360145891766,0.7043941617012024,0
115154,364265423,160.18662310457302,29.29134710337998,2.055,0
115156,432648780,160.1872168480752,39.87060075481114,2.477,0
115160,305415383,160.19150390691328,22.300744599644787,2.724020004272461,0
115162,345194200,160.19233442280103,26.918323353535566,2.413262128829956,0
115163,372322686,160.19317624833434,30.329951951988743,0.8765237927436829,0
115166,373942569,160.19362917374434,30.498017482500337,2.110482692718506,0
115175,348497667,160.1988953679852,27.383968917612684,2.311,0
115176,429965050,160.199571625519,39.45267420088756,2.371,0
115181,307123148,160.2012107533032,22.50996574686179,0.7565128803253174,0
115190,352093600,160.20600093242714,27.713755222625636,1.3864630460739136,0
115191,386283930,160.2070240617302,32.38225769070275,2.660508394241333,0
115193,409454241,160.20857066406006,35.96496781731688,1.982,0
115194,305415274,160.20967015537823,22.17685530919841,2.542755365371704,0
115195,323224614,160.21000487960453,24.3664474975342,0.7178887724876404,0
115197,420501857,160.21131855588789,37.90989799215721,2.4077775478363037,0
115202,401660492,160.21358882748615,34.813954982865475,2.7135887145996094,0
115205,398978707,160.21603682845043,34.25776487401504,2.166,0
115208,381706646,160.21917715145858,31.70066845572169,2.2092530727386475,0
115218,381706557,160.22294874082604,31.660119070377046,2.4441165924072266,0
115220,355373629,160.22360719637638,28.09593400548173,0.7764286994934082,0
115223,296568206,160.22435161541398,21.24274555033137,2.6748130321502686,0
115228,330597119,160.22752644846685,25.119305049330347,2.735,0
115234,370952803,160.23292896105045,30.133431692612493,2.05,0
115235,428755594,160.23297867005738,39.13467908973146,2.651,0
115246,305415448,160.24071882605298,22.20340902782559,3.1321299076080322,0
115247,321425312,160.24080155411554,24.106573503109843,2.173,0
115248,364265691,160.2413770832747,29.300629786533168,2.890004873275757,0
115250,314189878,160.2439347290695,23.233698605670167,2.4725348949432373,0
115252,381950547,160.24550829378842,31.666482580072504,0.9306225180625916,0
115254,369272040,160.24883050458857,29.977006786839144,2.054,0
115257,341596193,160.2503021301395,26.38414416065567,2.209444999694824,0
